Time (s),Distance (mm)
44.422365,399
44.521009,397
44.618491,398
44.71728,399
44.813804,396
44.91135,398
45.007588,397
45.105228,398
45.201711,398
45.298718,398
45.397361,397
45.494258,398
45.591337,396
45.689046,398
45.787533,398
45.885076,397
45.983575,398
46.082276,398
46.181802,397
46.279286,399
46.378272,397
46.47476,396
46.573714,397
46.672756,396
46.770282,399
46.868764,400
46.968318,395
47.065014,396
47.163555,396
47.270022,398
47.359571,397
47.459277,397
47.557316,396
47.654411,395
47.754078,397
47.850565,397
47.950102,395
48.046597,396
48.143767,397
48.241305,393
48.339953,396
48.438735,395
48.53367,398
48.631274,398
48.729797,396
48.827297,397
48.923831,399
49.023183,395
49.120001,399
49.216955,398
49.315459,397
49.412426,397
49.510439,397
49.606934,396
49.70309,399
49.802649,398
49.902137,397
50.00124,396
50.097775,398
50.194432,397
50.29197,397
50.388558,397
50.485446,400
50.584985,396
50.683813,397
50.78074,397
50.88028,398
50.978763,396
51.07638,396
51.172774,397
51.273536,397
51.369016,398
51.465622,397
51.564326,396
51.661872,398
51.761389,397
51.859917,398
51.956408,399
52.05391,397
52.150449,397
52.247986,397
52.346266,395
52.444063,395
52.540566,398
52.637808,396
52.734815,398
52.833606,397
52.933099,399
53.032026,399
53.128573,397
53.226092,397
53.323486,397
53.421322,399
53.518789,396
53.618806,400
53.749302,398
53.816055,396
53.910881,395
54.007433,395
54.104975,397
54.201532,395
54.299077,397
54.39764,398
54.494803,399
54.594354,397
54.690992,398
54.788539,398
54.887087,398
55.001154,397
55.081345,395
55.177256,398
55.277453,399
55.37345,397
55.471282,396
55.568245,397
55.666476,396
55.763675,396
55.861233,395
55.957597,399
56.057243,396
56.156728,397
56.252285,397
56.350225,399
56.448539,397
56.547563,397
56.645298,394
56.744244,398
56.842866,398
56.940426,397
57.03736,399
57.133605,398
57.230766,394
57.327701,397
57.425116,398
57.524968,397
57.621168,395
57.716962,398
57.815507,396
57.912071,397
58.00922,396
58.105785,400
58.204492,398
58.308054,396
58.398799,397
58.496338,398
58.593223,396
58.690092,397
58.786568,397
58.885069,398
58.981677,397
59.077886,396
59.174443,396
59.271992,397
59.373954,398
59.468255,398
59.564649,394
59.662406,398
59.759299,398
59.855579,398
59.954118,394
60.0516,397
60.148443,396
60.247935,397
60.346481,398
60.446167,397
60.54271,398
60.641475,398
60.740378,396
60.837926,395
60.934418,398
61.034221,397
61.13242,396
61.229742,397
61.327882,395
61.423792,398
61.547787,398
61.619057,396
61.719487,398
61.815952,395
61.913975,397
62.072187,398
62.111208,399
62.208426,398
62.307993,396
62.406975,397
62.505555,396
62.608126,396
62.699876,398
62.798941,396
62.895972,397
62.992338,398
63.091331,397
63.190884,396
63.288318,397
63.385355,399
63.483909,395
63.580462,396
63.684243,397
63.774939,398
63.873524,397
63.971079,397
64.067638,395
64.165221,397
64.263784,396
64.361431,396
64.457956,398
64.55738,397
64.654929,396
64.751388,398
64.850484,398
64.94704,398
65.044158,399
65.144085,395
65.24141,398
65.338256,398
65.436279,395
65.532398,395
65.630078,399
65.728256,397
65.828045,397
65.924693,395
66.022242,395
66.149254,397
66.215272,398
66.313306,397
66.410352,399
66.507071,395
66.603196,396
66.702367,398
66.79966,398
66.897005,398
66.993967,397
67.090793,398
67.187817,395
67.285194,399
67.384506,398
67.483012,398
67.581569,397
67.678493,397
67.778135,397
67.874707,397
67.972323,397
68.068856,395
68.165391,397
68.26496,398
68.364519,398
68.463045,396
68.558576,398
68.65736,397
68.753811,400
68.853372,397
68.949947,398
69.046764,397
69.144048,398
69.242693,393
69.340039,398
69.439374,396
69.535963,399
69.632617,398
69.729953,397
69.826989,396
69.924318,395
70.02088,396
70.117968,397
70.215493,397
70.314025,396
70.412833,397
70.50938,397
70.608567,396
70.705428,395
70.802989,397
70.902389,396
70.996947,396
71.096214,397
71.194217,398
71.289848,399
71.388836,396
71.485139,398
71.584802,398
71.683833,397
71.781282,398
71.880176,395
71.976713,397
72.074197,396
72.172883,398
72.290396,398
72.369032,397
72.465654,395
72.5635,394
72.659997,397
72.769956,399
72.85787,395
72.955144,399
73.052182,398
73.148743,397
73.247968,398
73.36561,398
73.444025,398
73.540589,399
73.638129,396
73.735223,397
73.831862,398
73.92844,397
74.025979,399
74.124533,398
74.222099,398
74.318664,397
74.415923,397
74.51425,396
74.611676,399
74.711319,397
74.807853,396
74.904481,399
75.004037,397
75.103837,397
75.200584,396
75.298324,399
75.395316,396
75.493211,396
75.589769,396
75.686711,397
75.786288,398
75.885343,398
75.982332,397
76.088029,396
76.175567,398
76.273238,397
76.371655,395
76.468634,397
76.568876,395
76.662672,396
76.76207,401
76.860394,398
76.960291,398
77.056957,396
77.156097,396
77.253669,397
77.352793,398
77.448505,395
77.545268,399
77.65979,396
77.741505,398
77.838531,395
77.935729,397
78.032802,394
78.134366,398
78.226931,396
78.323276,397
78.420619,396
78.51825,398
78.614805,396
78.711839,397
78.808382,395
78.905996,397
79.003237,398
79.099865,398
79.196518,397
79.31093,396
79.390708,398
79.490223,396
79.586717,396
79.684067,396
79.792263,397
79.878805,399
79.97736,396
80.073869,397
80.170559,400
80.270103,397
80.366616,397
80.464178,397
80.56299,397
80.659898,396
80.756686,397
80.856221,397
80.952517,397
81.050197,398
81.146987,397
81.243548,396
81.340844,398
81.439242,396
81.536644,400
81.636218,397
81.732544,399
81.830101,400
81.927339,400
82.025874,396
82.122437,399
82.22224,396
82.318773,398
82.41732,400
82.514447,396
82.610849,396
82.708833,396
82.805326,397
82.903041,398
83.001549,396
83.099037,400
83.198758,397
83.296588,397
83.393637,400
83.492759,400
83.591503,397
83.68906,396
83.785947,395
83.884484,396
83.981985,396
84.078533,399
84.176056,397
84.272913,399
84.369506,395
84.46701,396
84.563449,398
84.662182,398
84.760063,400
84.858963,397
84.955521,397
85.05308,397
85.149956,397
85.247022,398
85.355896,399
85.444332,396
85.541433,398
85.638529,396
85.735933,394
85.832561,395
85.93009,399
86.028514,397
86.126058,398
86.225594,396
86.321249,399
86.419762,396
86.518719,398
86.614555,397
86.711446,396
86.808709,398
86.905806,396
87.00281,398
87.099378,397
87.197041,398
87.29367,396
87.392342,396
87.489513,397
87.586971,395
87.683533,396
87.779895,396
87.877187,398
87.974365,398
88.070643,398
88.240333,398
88.297397,398
88.364119,396
88.460946,400
88.560188,397
88.656674,397
88.753191,398
88.850082,394
88.947595,397
89.046459,397
89.146012,398
89.242316,397
89.340311,396
89.43672,396
89.534285,397
89.633003,396
89.730038,399
89.827261,397
89.923808,398
90.020377,396
90.118378,396
90.217521,396
90.314073,397
90.413057,396
90.509613,396
90.606271,397
90.703668,397
90.802234,397
90.899793,398
90.998455,397
91.096408,397
91.193413,398
91.290078,397
91.388681,396
91.486208,395
91.582357,398
91.681785,396
91.778717,395
91.875695,396
91.972735,397
92.069457,395
92.167027,398
92.265724,397
92.363098,398
92.460435,399
92.558995,397
92.656337,398
92.755026,398
92.854125,396
92.950477,397
93.048034,396
93.146692,398
93.246418,397
93.340925,397
93.437999,396
93.535456,397
93.632039,400
93.728795,398
93.826174,395
93.923294,395
94.020145,397
94.120371,397
94.21568,396
94.313269,394
94.410277,396
94.506768,396
94.603326,397
94.700866,397
94.797424,397
94.896979,397
94.991441,400
95.091005,398
95.189589,400
95.287118,398
95.38568,399
95.484714,398
95.581302,398
95.68086,395
95.778018,398
95.874576,398
95.973678,396
96.07089,395
96.167448,394
96.265001,399
96.361575,397
96.458944,395
96.556385,396
96.65635,394
96.753387,398
96.851161,396
96.976284,395
97.04456,398
97.155725,397
97.243251,398
97.343427,397
97.440093,399
97.539259,395
97.638565,398
97.735554,394
97.834772,398
97.931967,397
98.028692,397
98.126026,398
98.225367,398
98.323972,399
98.423347,397
98.519874,397
98.618349,398
98.717629,396
98.814501,398
98.914084,398
99.010632,397
99.110201,398
99.208747,395
99.30627,397
99.403333,396
99.500088,397
99.599382,397
99.696023,396
99.792678,398
99.892233,399
99.990579,398
100.087669,399
100.187122,399
100.304688,396
100.385136,395
100.483464,397
100.581031,397
100.679606,397
100.77958,397
100.877911,398
100.976505,398
101.074095,396
101.170654,397
101.269583,397
101.366839,399
101.46632,398
101.563292,397
101.660409,398
101.761867,397
101.855298,397
101.95324,397
102.051709,398
102.151128,398
102.249796,398
102.346324,397
102.443339,394
102.540674,396
102.667207,398
102.738949,399
102.837509,397
102.935003,397
103.033543,398
103.132458,396
103.231927,400
103.330598,399
103.430148,397
103.526857,397
103.623885,396
103.723866,399
103.819715,396
103.91662,395
104.014115,398
104.111126,399
104.209719,394
104.306558,398
104.403607,398
104.501025,397
104.597561,398
104.697818,398
104.795298,399
104.894831,398
104.994338,395
105.091886,399
105.18941,398
105.29367,395
105.458991,397
105.675274,398
105.675274,399
105.678278,397
105.776315,395
105.872621,396
105.969267,396
106.066391,397
106.163907,396
106.264465,397
106.359821,396
106.457022,396
106.555563,398
106.652104,397
106.750096,396
106.847506,399
106.946064,397
107.044635,399
107.144203,396
107.240782,396
107.338379,398
107.437193,398
107.533762,398
107.630328,397
107.728124,396
107.825239,396
107.922196,395
108.019235,397
108.1178,397
108.216362,397
108.313904,396
108.410752,395
108.507321,397
108.606632,397
108.703606,398
108.801123,397
108.897703,397
108.994286,397
109.091773,397
109.190346,398
109.289888,396
109.386969,398
109.485559,397
109.585132,397
109.683955,395
109.782294,400
109.881571,394
109.97899,397
110.075742,400
110.174305,397
110.273848,397
110.370423,397
110.46848,399
110.566029,398
110.66358,396
110.760307,396
110.857868,397
110.967737,398
111.068934,396
111.15536,398
111.254175,398
111.350336,397
111.447986,394
111.544904,398
111.644427,395
111.740912,397
111.838198,399
111.937279,397
112.034801,397
112.130042,398
112.229251,398
112.328212,397
