Time (s),Distance (mm)
38.555841,2046
38.653518,2042
38.749926,2057
38.846436,2052
38.944108,2051
39.041411,2047
39.137361,2054
39.239153,2052
39.332643,2047
39.4284,2049
39.526156,2055
39.62314,2052
39.719302,2054
39.816711,2054
39.926535,2044
40.010652,2044
40.107366,2049
40.204834,2044
40.301835,2047
40.398888,2045
40.495787,2048
40.593129,2052
40.689859,2046
40.788648,2050
40.883304,2050
40.98035,2047
41.07729,2049
41.175247,2050
41.271797,2053
41.36836,2048
41.465551,2049
41.562857,2047
41.65943,2041
41.756895,2050
41.853234,2051
41.950544,2046
42.047374,2050
42.144315,2049
42.241257,2046
42.338788,2043
42.438303,2051
42.533206,2052
42.632537,2045
42.725889,2048
42.82337,2056
42.920949,2044
43.017866,2052
43.114791,2049
43.224353,2051
43.308966,2050
43.40534,2053
43.502217,2057
43.616735,2048
43.697397,2051
43.794321,2046
43.891025,2052
43.98799,2048
44.084548,2051
44.181496,2049
44.278777,2049
44.375582,2053
44.47209,2051
44.569596,2052
44.668297,2051
44.763945,2053
44.860821,2043
44.957541,2044
45.054984,2048
45.152493,2058
45.248274,2049
45.35673,2053
45.442141,2045
45.5401,2046
45.636861,2048
45.734327,2046
45.830323,2053
45.927085,2051
46.024204,2044
46.12128,2050
46.219106,2047
46.315904,2050
46.412579,2045
46.509592,2049
46.60952,2046
46.703515,2053
46.801452,2049
46.897356,2053
46.995597,2051
47.091372,2047
47.1889,2050
47.285387,2053
47.382947,2038
47.479509,2042
47.57706,2050
47.673589,2054
47.770411,2048
47.867244,2047
47.964067,2048
48.061379,2054
48.158299,2053
48.256242,2044
48.352362,2049
48.450295,2055
48.547294,2044
48.643504,2050
48.742958,2038
48.837563,2044
48.944853,2056
49.030802,2054
49.128128,2050
49.226084,2054
49.323048,2052
49.419266,2058
49.516608,2054
49.613841,2045
49.710349,2056
49.807289,2046
49.9042,2053
50.001844,2043
50.099282,2049
50.195824,2060
50.293646,2057
50.389276,2045
50.486681,2043
50.584061,2043
50.680871,2049
50.77745,2052
50.874368,2056
50.972188,2052
51.068883,2055
51.165353,2049
51.263416,2056
51.360156,2048
51.457044,2042
