Time (s),Distance (mm)
0.0,134
0.028554,133
0.12555,130
0.222218,133
0.319305,128
0.416705,130
0.513762,134
0.610256,136
0.707785,137
0.804261,132
0.900966,136
0.999455,130
1.09666,130
1.192098,129
1.289077,135
1.386143,130
1.48328,139
1.580261,131
1.676802,132
1.774516,133
1.871038,131
1.967918,132
2.064993,140
2.162297,134
2.259255,131
2.356802,130
2.452755,134
2.550516,136
2.64703,136
2.744289,134
2.84113,134
2.938811,139
3.035191,140
3.132409,137
3.229216,137
3.326312,138
3.423435,141
3.520762,139
3.62041,139
3.714727,139
3.811539,138
3.907938,137
4.00528,140
4.101932,137
4.199592,137
4.296155,137
4.393732,136
4.49229,137
4.58782,140
4.68658,142
4.78312,140
4.882024,141
4.978874,143
5.078152,140
5.177195,138
5.276174,140
5.375458,140
5.474376,140
5.573797,139
5.672703,135
5.771295,139
5.870752,139
5.96782,137
6.064879,135
6.163425,136
6.263303,135
6.361443,136
6.458401,133
6.554691,135
6.652524,134
6.751073,135
6.849925,137
6.948815,138
7.048187,137
7.147299,137
7.2543,137
7.343354,138
7.442711,140
7.53877,135
7.638419,135
7.737916,136
7.833981,137
7.931171,138
8.030702,138
8.12917,139
8.228135,139
8.327935,140
8.424883,139
8.523717,139
8.621958,136
8.719457,136
8.816923,134
8.913515,136
9.010484,135
9.109037,135
9.207096,136
9.303662,135
9.400582,135
9.498935,132
9.59838,131
9.699842,130
9.795991,132
9.914552,133
9.992554,132
10.089559,131
